"verse_number","sanskrit","translation","explanation","problem_category"
"1.1","धृतराष्ट्र उवाच। धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः। मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय॥","Dhritarashtra said: Gathered in the sacred field of Kurukshetra, desirous of battle, what did my sons and the sons of Pandu do, O Sanjaya?","When facing a difficult decision, seek clarity by assessing the context and consulting a trusted advisor, just as Dhritarashtra did with Sanjaya. Understanding the environment (dharma vs. conflict) helps in making informed choices.","Decision-making"
"1.2","सञ्जय उवाच। दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा। आचार्यमुपसंगम्य राजा वचनमब्रवीत्॥","Sanjaya said: Seeing the Pandava army arranged in military formation, King Duryodhana approached his teacher and spoke these words.","Before making strategic moves, consult experts or mentors. Duryodhana’s approach to Drona highlights the importance of gathering expert opinions to refine strategies.","Leadership and Strategy"
"1.3","पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्। व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता॥","Behold, O Teacher, this mighty army of the sons of Pandu, arrayed by your wise disciple, the son of Drupada.","Recognizing the strengths of your competitors is key. Analyze their strategies and prepare accordingly, as Duryodhana does by acknowledging the Pandavas' formations.","Tactical Assessment"
"1.4","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि। युयुधानो विराटश्च द्रुपदश्च महारथः॥","Here, mighty archers equal to Bhima and Arjuna, such as Yuyudhana, Virata, and Drupada, stand ready to fight.","Identify key players in a situation. Duryodhana's focus on key warriors emphasizes prioritizing important stakeholders when facing challenges.","Risk Analysis"
"1.5","धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्। पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः॥","There are also heroes like Dhrishtaketu, Chekitana, and the valiant King of Kashi; Purujit, Kuntibhoja, and the noble Shaibya.","Diversify your resources and recognize each one's potential. When facing complex challenges, having a versatile team like the Pandavas ensures success.","Situational Awareness"
"1.6","युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्। सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः॥","The courageous Yudhamanyu and the mighty Uttamauja, along with Abhimanyu and the sons of Draupadi—all great warriors.","Leverage the strengths of both experienced and emerging talents. Recognizing and utilizing everyone’s skills can lead to collective success.","Strength Evaluation"
"1.7","अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम। नायकामम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते॥","O best of Brahmins, know also the distinguished leaders of our forces. For your information, I shall name them.","When managing a team, clearly identify leadership roles. Clear communication of responsibilities, as Duryodhana does, is essential for effective teamwork.","Resource Identification"
"1.8","भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः। अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च॥","Yourself, Bhishma, Karna, Kripa, victorious in battle; Ashwatthama, Vikarna, and Jayadratha.","Identify key contributors who can drive success. By recognizing individuals’ expertise, like Bhishma and Karna, you can allocate tasks more effectively.","Team Assessment"
"1.9","अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः। नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः॥","Many other heroes, willing to sacrifice their lives for me, armed with various weapons and skilled in battle.","Foster loyalty and dedication within your team. Recognizing the commitment of team members, as Duryodhana does, builds morale and unity.","Motivation and Loyalty"
"1.10","अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्। पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्॥","Our strength, protected by Bhishma, is immeasurable, whereas the strength of the Pandavas, guarded by Bhima, is limited.","Confidence in leadership can boost morale. By placing trust in strong leaders like Bhishma, you create a sense of security and unity within the team.","Comparative Analysis"
"1.11","अयनेषु च सर्वेषु यथाभागम् अवस्थिताः। भीष्मम् एवाभिरक्षन्तु भवन्तः सर्व एव हि॥","In all strategic points, stationed according to formation, let all of you protect Bhishma at any cost.","In challenging situations, prioritize safeguarding your key resources. Like Bhishma's protection, securing vital assets ensures stability and success in any endeavor.","Resource Protection"
"1.12","तस्य सञ्जनयन् हर्षं कुरुवृद्धः पितामहः। सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्॥","To boost the morale of the Kauravas, the mighty elder Bhishma blew his conch shell, roaring like a lion.","Boosting morale during critical moments is crucial. Use symbolic acts or motivational gestures, like Bhishma's conch blast, to inspire confidence and unity in your team.","Motivation and Morale"
"1.13","ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः। सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्॥","Then, suddenly, conches, drums, and trumpets blared together, creating a tumultuous sound.","Create a strong collective impact by coordinating efforts. Synchronizing actions, as seen in the Pandavas’ war preparations, amplifies effectiveness and intimidates opponents.","Coordination and Impact"
"1.14","ततः श्वेतैः हयैः युक्ते महति स्यन्दने स्थितौ। माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः॥","Then Krishna and Arjuna, seated in their grand chariot drawn by white horses, blew their divine conches.","Facing challenges with trusted allies strengthens confidence. The partnership of Krishna and Arjuna illustrates the power of teamwork and divine guidance.","Teamwork and Support"
